"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"11611","ja","«Ï«ó«½«ó«Ù«¯«Á«§(ùÓàòÛÝ?)ÚÏÚªÎ½","138-050 «½«¦«ëã¼áæ÷ç?Û°ì¿Ô× 88-20 ùÓàòÛÝ?ÚÏÚªÎ½","138-050 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«¦«£«ì«½«ó«Ç«í71 (Û°ì¿Ô×)«Ï«ó«½«ó«Ù«¯«Á«§(ùÓàòÛÝ?)ÚÏÚªÎ½","+82-2-2152-5900?7","+82-2-2152-5908","","øÁìí£¯9:00?21:00¡¢ñÎØÇ?õæìí£¯9:00?19:00","","êÅèøìíªªªèªÓ1êÅ1ìí","ò¢ù»?8?àÊ¡¸«â«ó«Á«ç«ó«È«½«ó¡¹?1ÛãõóÏ¢ª«ªééÓâ¢(Ñõ2Ú¦Û°Øü)ªË650mòäªóªÀà»ªËêÈöÇ ò¢ù»?5?àÊ(Ø©ô¹Û°Øü)¡¸«ª«ê«ó«Ô«Ã«¯«´«ó«¦«©«ó(ùÛ??ÓÞ)¡¹?3ÛãõóÏ¢ª«ªéÑõ2Ú¦Û°ØüªË1kmòäªóªÀà»ªËêÈöÇ  ","ÚÏÚªÎ½ÛÝ?ùÓàòœüãøÍÔÏ£Õò«Ï«ó«½«ó«Ù«¯«Á«§ÚÏÚªÎ½ùÓàòÛÝ?ÚÏÚªÎ½«ª«ê«ó«Ô«Ã«¯Íëê®ãæÔþ4Dç±ßÀ??Ùþûùî¯","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"23771","ja","«Û¡¤«¸«å«ó(úÉñÝ)ÚÏÚªÎ½","157-202 «½«¦«ëã¼Ë°à¤?Ê¥åÕÔ×26-5 ","07525 «½«¦«ëã¼Ë°à¤?Ê¥åÕÔ× (Ê¥åÕÔ×)","+82-2-3661-8686","+82-2-3661-8639","http://www.heojun.seoul.kr/museum/japanese","øÁìí 3êÅ?10êÅ£¯10:00-18:00¡¢11êÅ?2êÅ£¯10:00-17:00 ÷Ïèøìí¡¤ìíèøìí¡¤õæìí 10:00-17:00 ¡Ø ìýíÞªÏøÍÎ½1ãÁÊàîñªÞªÇ","","êÅèøìí¡¢1êÅ1ìí¡¢?ïáêÅÐàªÓõÕàª(??8êÅ15ìí)?ìí","ò¢ù»?9?àÊ¡¸«««ä«ó¡¹?1ÛãõóÏ¢Óù?10ÝÂ ò¢ù»?5?àÊ¡¸«Ñ«ë«µ«ó¡¹?3ÛãõóÏ¢ªèªê6657Ûã¡¢1002Ûã«Ð«¹ªË?ªêüµª¨¡¸«³«ó«¸«óñé?Îè¡¢«Û«¸«å«óÚÏÚªÎ½¡¹ªÇù»ó³ ","ÚÏÚªÎ½??Î½ùÛ??ÚÏÚªÎ½«Û¡¤«¸«å«óùÛÛ°úÉñÝúÉñÝÚÏÚªÎ½ùÓÛ°?ÞÈî÷ãÆ","?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"780","ja","«Ý«ó«¦«ó«µ(ÜåëÚÞÑ)","135-870 «½«¦«ëã¼Ë°Ñõ?ß²à÷Ô× 73","06087 «½«¦«ëã¼«««ó«Ê«à«°(Ë°Ñõ?)«Ý«ó«¦«ó«µ«í531  (ß²à÷Ô×)","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org ","ìíªËªèªÃªÆì¶ªÊªë","","","ò¢ù»?7?àÊ¡¸«Á«ç«ó«À«à¡¹?2ÛãõóÏ¢ª«ªé«­«ç«ó«®«³(ÌÈÑ²ÍÔ)Û°ú¾ªØ150m ò¢ù»?2?àÊ¡¸«µ«à«½«ó(ß²à÷)¡¹?6ÛãõóÏ¢ª«ªéASEM«¿«ï?ªÎÛ°ú¾ªØå³100m","??COEXÞÑ«³«¨«Ã«¯«¹æ×šëú¼Öªë¶îæò¢¡¤Ùþûùî¯«Æ«ó«×«ë«¹«Æ«¤ÜåëÚÞÑ«½«¦«ëÞÑêÂ","«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"11473","ja","«ß«ç«ó«É«ó(Ù¥Ô×)?ÎÃï×ÜÃ«»«ó«¿?"," «½«¦«ëã¼ñé?ëàò¨ÖØ2Ê¶ 181 èâüµëÞú¼ÜâïÁÜ¬Î½1Í­"," «½«¦«ëã¼«Á«å«ó(ñé)?«¦«ë«Á«í66 (ëàò¨ÖØ2Ê¶)","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","«ß«ç«ó«É«ó(Ù¥Ô×)?ÎÃï×ÜÃ«»«ó«¿? / «®«Õ«È«·«ç«Ã«× 09:00?18:00","","?ïáêÅªªªèªÓõÕàª(??8êÅ15ìí)?ìí ?ñÎìíèøìí","ò¢ù»?2?àÊ¡¸«¦«ë«Á«í«¤«×«¯¡¹? 5Ûã¡¢6ÛãõóÏ¢","?ÎÃäÐ??ÎÃäÐ?ï×ÜÃ«»«ó«¿?Ù¥Ô×«é«ó«É«Þ?«¯","«¢«¯«»«·«Ó«ê«Æ«£"
"4038","ja","«ß«ç«ó«É«ó¡¤«½«ó«À«ó(Ù¥Ô×á¡ÓÑ)","100-022 «½«¦«ëã¼ñé?Ù¥Ô×2Ê¶ 1-1","100-022 «½«¦«ëã¼«Á«å«ó(ñé)?«ß«ç«ó«É«ó«®«ë74 (Ù¥Ô×2Ê¶)","+82-2-774-1784","","http://www.mdsd.or.kr","","","ìíèøìí","ò¢ù»?4?àÊ¡¸«ß«ç«ó«É«ó¡¹?9ÛãõóÏ¢ª«ªéÓù?10ÝÂ ò¢ù»2?àÊ¡¸«¦«ë«Á«í«¤«×«¯¡¹?5ÛãõóÏ¢ª«ªéÓù?15?20ÝÂ ò¢ù»2?àÊ¡¸«¦«ë«Á«í«µ«à«¬¡¹?12ÛãõóÏ¢ª«ªéÓù?10ÝÂ","Ù¥Ô×ñ«?ñ¨á¡ÓÑ«´«·«Ã«¯«­«ê«¹«È?ë¶îæò¢¡¤Ùþûùî¯«½«¦«ëá¡ÓÑÙ¥Ô×á¡ÓÑ«½«¦«ëðó?ã¿àâ?ÞÈ","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ"
"22429","ja","«â«ó«Á«ç«ó(ÙÓõ½)?ÞÈÎ½","138-749 «½«¦«ëã¼áæ÷ç?Û»ì¿Ô× 88-3","05540 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«ª«ê«ó«Ô«Ã«¯«í424 (Û»ì¿Ô×)","+82-2-2152-5900","+82-2-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","9:00-18:00 ","","êÅèøìí¡¢1êÅ1ìí","ò¢ù»?5?àÊ¡¸«ª«ê«ó«Ô«Ã«¯«´«ó«¦«©«ó(ùÛ??ÓÞ)¡¹?3ÛãõóÏ¢    ò¢ù»?8?àÊ¡¸«â«ó«Á«ç«ó«È«½«ó¡¹?1ÛãõóÏ¢ ","ÛÝ?ãÁÓÛî÷ãÆù¦Ò¡÷ÏàòÙÓõ½?ÞÈÎ½ë¶îæÛÝ??ÞÈÙþûù??«ª«ê«ó«Ô«Ã«¯Íëê®?ÞÈÙÓõ½÷ÏàòÚÏÚªÎ½","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì"
"1165","ja","«ä«ó«Õ«¡«¸«ó(åÅü£òÐ)èâ?ìÑà¾?ÞÔÙ×ò¢","121-883 «½«¦«ëã¼Ø«øÝ?ùêïÌÔ× 144","04084 «½«¦«ëã¼«Þ«Ý(Ø«øÝ)?«ä«ó«Õ«¡«¸«ó«®«ë46 (ùêïÌÔ×)","+82-2-332-9174","+82-02-332-9175","http://www.yanghwajin.net/v2/index.html","10:00?17:00 ","","ìíèøìí¡¢1êÅ1ìí¡¢?ïáêÅÐàªÓõÕàª(??8êÅ15ìí)Ö§ýÌ¡¢«¯«ê«¹«Þ«¹","ò¢ù»?2?àÊ/6?àÊ¡¸«Ï«×«Á«ç«ó¡¹?7ÛãõóÏ¢ª«ªéÓù?10ÝÂ","«½«¦«ëÑÀÒ·Î½ë¶îæò¢¡¤Ùþûùî¯ùêïÌ??ÞÈåÅü£òÐèâ?ìÑà¾?ÞÔÙ×ò¢ûðÓÞ«Ï«×«¸«ç«ó?","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ"
"21384","ja","«í«Ã«Æ«ï?«ë«É«¿«ï?","138-240 «½«¦«ëã¼áæ÷ç?ãæô¹Ô× 29","05551 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«ª«ê«ó«Ô«Ã«¯«í300 (ãæô¹Ô×)","+82-2-3213-5000","","http://www.lwt.co.kr/tower/main/main.do#sec01","ã¿àâªËªèªÃªÆì¶ªÊªë («¦«§«Ö«µ«¤«È?ðÎ)","","Ò´ñéÙíýÌ","ò¢ù»?2?àÊ?«Á«ã«à«·«ë??2ÛãõóÏ¢Óù?5ÝÂ ò¢ù»?8?àÊ?«Á«ã«à«·«ë??11ÛãõóÏ¢Óù?5ÝÂ","«¢«¯«¢«ê«¦«àî÷ØÐ÷»«í«Ã«Æ«ï?«ë«É«â?«ëØó?ïÁ123Í­«·«ç«Ã«Ô«ó«°«â?«ë«½«¦«ë«¹«««¤«í«Ã«Æ«ï?«ë«É«¿«ï?œüãø","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"1250","zh-CN","ß²àøÚ¸??¡ª¡ªLeeum","140-893 âÏ?ã¼?ß£?Õó÷ÁêÂÖØ55Ê¶60-16  ","04348 âÏ?ã¼?ß£?Õó÷ÁêÂÖØ55Ê¶60-16  ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30 ~ 18:00  ñ²ì£Óðñ²ìí10:30 ~ 18:00£¬??îñìéá³?Ð×ò­ìý?","àøÑ¢ì£ àøÑ¢ß² àøÑ¢ÞÌ àøÑ¢çé àøÑ¢×¿ àøÑ¢ô¸","Øßñ²ìé¡¢ØßÒ´1êÅ1ìí¡¢õð?¡¢ñéõÕ","6?? ?Ë°?ó×1?õóÏ¢õó?ý¨ÜÆú¼10ÝÂ?   ","×Þ÷ÁêÂÚ¸?íÂù¡?ëÀÙþûùñéãýÚÏÚª??ß£??ß²àøÚ¸??","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"5468","ja","á¦ðó¡¤õ÷ÙëÍë«¹«È?«ê?","110-050 «½«¦«ëã¼ñ¤ÖØ?á¦ðóÖØ 81-3 á¦ðóÙþûù?Î½ ò¢ù»2Í­","110-050 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«»«¸«ç«ó«Ç«í175 (á¦ðóÖØ)á¦ðóÙþûù?Î½ò¢ù»2Í­á¦ðó«¹«È?«ê?","+82-2-399-1114?6","","http://www.sejongstory.or.kr","10:30-19:30(ìýíÞªÏ19:00ªÞªÇ)","","êÅèøìí(õæð®ìíª¬êÅèøìíªÈñìªÊªÃª¿íÞùêªÏËÒÎ½¡¢ìÎìíªÎøÁìíªÏýÌÎ½)","ò¢ù»?1?àÊ?«Á«ç«ó«¬«¯??1ÛãõóÏ¢    ò¢ù»?5?àÊ?«¯«¡«ó«Õ«¡«à«ó??2ÛãõóÏ¢    ò¢ù»?3?àÊ?«­«ç«ó«Ü«Ã«¯«ó(ïÙÝ¤«½«¦«ë??)??6ÛãõóÏ¢","?ÞÈá¦ðóÚªåÞÚÏÚªÎ½¡¤ÑÀÒ·Î½á¦ðóÓÞèÝ×Ýâïãíõ÷ÙëÍëÚªåÞÎÃûùÚ¦á¦ðóÚªåÞ¡¤õ÷ÙëÍëÚªåÞÎÃûùÚ¦?íÞá¦ðó¡¤õ÷ÙëÍë«¹«È?«ê?«½«¦«ë?ÎÃ","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"5465","zh-TW","á¦ðóÍºÞÀ ? õ÷ÙëÍëÍºÞÀÎ½","110-050 âÏì³ã¼ñ¤ÖØÏ¡á¦ðóÖØ81-3 á¦ðóÙþûùüåÎ½B2×§","110-050 âÏì³ã¼ñ£ÖØÏ¡á¦ðóÓÞÖØ175 ","+82-2-399-1114~6","","http://www.sejongstory.or.kr/ch/main.asp","10:30~19:30 (õÌý­ìýíÞãÁÊà19:00)","ñÎì£~ñÎìí","ñÎìé(å´éçùÛÏÐÏÐïÒÊ£ìí£¬öÎðÎßÈËÒÎ½£¬?åÚÌ°ìíñýøÁìíÍëýÌ)","3ûÜàÊÌØÜØÏàó×6ûÜõóÏ¢ÎÃûùÚ¦Û°ú¾ÜÆú¼200Íëô© 5ûÜàÊÎÃûùÚ¦ó×2ûÜõóÏ¢ÎÃûùÚ¦Û°ú¾ÜÆú¼30Íëô©","Ùþûù×Ýâïãíá¦ðóÓÞèÝá¦ðóÍºÞÀõ÷ÙëÍëÍºÞÀÎ½ñ¤ÊÈó×á¦ðóÙþûùüåÎ½ÚÏÚªÎ½ÑºÒ·Î½ÎÃûùÚ¦ó×ÌØÜØÏàó×ÕöÞÈ","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"5466","zh-CN","á¦ðóÍºÞÀ? õ÷ÙëÍëÍºÞÀ","110-050 âÏ?ã¼?ÖØ?á¦ðóÖØ 81-3 á¦ðóÙþûù?? B2","110-050 âÏ?÷å?ã¼?ÖØ?á¦ðóÖØ81-3?á¦ðóÙþûù??ò¢ù»2?£¨á¦ðóÓÞÔ³175?á¦ðóÍºÞÀ£© ","+82-2-399-1114","","http://yisunshinstory.or.kr"," 10:30~19:30( ìý?ï¸ò­ò¸ 19:00 )","ñ²ì£~ñ²ìí","ñ²ìé(å´éç??ÛöïÒÊ£ìí£¬??æÅò¸ó­ìí)","5?? ÎÃûù?ó×27?õóÏ¢ÎÃûù?Û°ú¾200Ú·   ","×ÝâïãíÙþûù?ÞÈ?Ò·?ÚÏÚª?ÌØÜØ?á¦ðó? õ÷ÙëÍëÍºÞÀî÷??ÎÃ??","Ùéî¡äô÷çÔ³?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"26338","zh-CN","?ÓÞ??ÞÈ?ßÈ?î÷??ñìãæ??","100-197 âÏ?ã¼ñé?ëàò¨ÖØ7Ê¶2-1 ","04566 âÏ?ã¼ñé?ëàò¨ÖØ281 (ëàò¨ÖØ7Ê¶ 2-1) ?ÓÞ??ÞÈÍë??","+82-2-2153-0200","+82-2-2034-0697","http://www.museum.seoul.kr/index.jsp","10:00~18:00","?î¤üÀ?Ñ¢?íª?üÀ?ßÓ?ÍïíÂìÑ?","Øßñ²ìé 1êÅ 1ìí","2?? ?ÓÞ??ÞÈÙþûùÍë?ó×12?õóÏ¢","âÏ??ÞÈÚÏÚª??ÓÞ?ó×ÚÏÚª?î÷???êÂ?-ù»Ô´??ÓÞ??ÞÈ???Ùþûù???ÓÞ??ÞÈÙþûùÍë?","Ùéî¡äô÷çÔ³?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"21476","zh-CN","?ô¸á¦Í£÷²","138-240 âÏ?ã¼áæ÷ç?ãæô¹Ô×29 ","05551 âÏ?áæ÷ç??×ùù¯ÐºÖØ 300 (ãæô¹Ô×) ","+82-02-3213-5000","","http://www.lwt.co.kr/tower/main/main.do#sec01","SEOUL SKY  09:30 ~ 23:00 Ðìöâ?ã¿??ðÎÎ¯?  ","","îïÒ´ÙéýÌ ","2?? œüãøó×2?õóÏ¢ÜÆú¼5ÝÂ? 8?? œüãøó×11?õóÏ¢ÜÆú¼5ÝÂ?","â©ðé?SEOUL SKY123?œüãøî÷ØÐ÷»î÷ØÐ÷»?ô¸ÛÝ?ïÁ?ô¸á¦Í£?Úªñéãý?ô¸á¦Í£÷²","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"820","zh-CN","éö??","110-350 âÏ?ã¼?ÖØ?ß²ìéÓÞÖØ464  ","03131 âÏ?ã¼?ÖØ?ß²ìéÓÞÖØ464  ","+82-2-766-9090","+82-2-742-3900","http://unhyeongung.or.kr ","11êÅ~3êÅ 09:00~18:00  4êÅ~10êÅ 09:00~19:00 ","àøÑ¢ì£ ~ àøÑ¢ô¸","Øßñ²ìé(åýñ²ìé??Ê«?ïÒîÜÍëýÌìí£¬?ô¸?Û¯£¬ñ²ì£ýÌãÓ)","3?? äÌ?ó×4?õóÏ¢50Ú·îñ    5?? ?ÖØ3Ê¶ó×5?õóÏ¢(äÌ?ó×Û°ú¾)300Ú·îñ   ","?äÌ?ó×??ÎÃ??ÍÔðóéö??","Ùéî¡äô÷çÔ³?òðìÑá©â¢?"
"1899","zh-TW","ÎÃûùÚ¦ÎÆíÞ"," âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡á¦ðóÖØ 1-68"," âÏì³ã¼ñ¤ÖØÏ¡á¦ðóÓÞÖØ172 ","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","24á³ãÁËÒÛ¯","àøÑ¢ìé ~ àøÑ¢ìí","","3ûÜàÊÌØÜØÏàó×67ûÜõóÏ¢£¬èâüµëÞú¼Û°ú¾ 5ûÜàÊÎÃûùÚ¦ó×1ûÜ¡¢2ûÜ¡¢8ûÜõóÏ¢ 1ûÜàÊã¼ôæó×3ûÜõóÏ¢õóÕÎý­£¬ÌèÎ¦ÓìáøÏàñýý­èÙkoreanañÐïÁÛ°ú¾","á¦ðóÙþûùüåÎ½ÕöÞÈÎÃûùÚ¦ó×?Í¢ô¹ÌØÜØÏàÎÃûùÚ¦ÎÃûùÚ¦ÎÆíÞ×ÝâïãííâÏÚò¢øö","Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"76","zh-CN","Ñõß£âÏ?÷²","140-022 âÏ??ß£??ß£Ô×2Ê¶ ß£ 1-3 ","04340 âÏ??ß£?Ñõß£Íë?ÖØ 105 (?ß£Ô×2Ê¶ YTNâÏ?÷²) ","+82-2-3455-9277","","http://www.nseoultower.co.kr/","øÁìí£º12:00ò¸21:00 ñ²ØÇ/ÍëýÌìí£º11:00ò¸21:00  * ï¸ò­??30ÝÂ?îñÊ¦ìý? * óÉ?îÜ????ì×ÊÀßÂïÁÜôÔÒ£¬?ï×Ê¦?ÍÅ?ó×","","","3?? ?ÓÞìýÏ¢ó×6?õóÏ¢õó??ã«2?Íë?î¤âÏ?÷²ù»?    3?? õ÷ÙëÖØó×2?õóÏ¢õó??ã«2?Íë?î¤âÏ?÷²ù»?    6?? ×Þ÷ÁêÂó×4?õóÏ¢õó??ã«3?Íë?î¤âÏ?÷²ù»?    ","Ñõß£÷²ÖüØÐ÷»âÏ???Ñõß£÷²??âÏ?å¨ÌØå¨ÌØÙ¥Ô×âÏ????á¶âÏ?å¨ÌØÙ£?NâÏ?÷²ÖüØÐ÷»Ñõß£âÏ?÷²","Ùéî¡äô÷çÔ³?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"78","zh-TW","Ñõß£âÏì³÷²","140-022 âÏì³ã¼×£ß£Ï¡×£ß£Ô×2Ê¶ß£1-3 ","04340 âÏì³ã¼×£ß£Ï¡Ñõß£Íëê®Ê¶105 ","+82-2-3455-9277","","http://www.seoultower.co.kr/cn/","øÁìí:12:00ò¸21:00 ñÎØÇ/ÍëýÌìí:11:00ò¸21:00  * ï¸ò­ãÁÊà30ÝÂñ¤îñÊ¦ìýíÞ * óÉôæîÜê¡ç½ãÁÊàì×ÊÀßÂïÁÜôÔÒ£¬ßÙï×Ê¦óÑÍÅØÑó×","","","6ûÜàÊ×Þ÷ÁêÂó×4ûÜõóÏ¢£¬÷³ã«03ûÜÍëó³î¤âÏì³÷²ù»ó³    3ûÜàÊõ÷ÙëÖØó×2ûÜõóÏ¢£¬÷³ã«02ûÜÍëó³î¤âÏì³÷²ù»ó³    3ûÜàÊÔÔÓÞìýÏ¢ó×6ûÜõóÏ¢£¬÷³ã«02ûÜî¤âÏì³÷²ù»ó³   ","Ñõß£÷²ÖüØÐ÷»Ù¥Ô×âÏì³å¨ÌØÙ£ã­âÏì³å³üåÑõß£âÏì³÷²NâÏì³÷²ÖüØÐ÷»Õ¿ó³Ñõß£÷²å¨ÌØâÏì³å³üåíÞá¶âÏì³å¨ÌØ","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"5764","ja","??ì¡ÞÀÓÑ","150-701 «½«¦«ëã¼çµÔôøÝ?æ£ëøÓöÔ×1 ??ì¡ÞÀÓÑ","150-701 «½«¦«ëã¼«è«ó«É«¥«ó«Ý(çµÔôøÝ)?«¦«£«µ«À«ó«Ç«í1 (æ£ëøÓöÔ×)??ì¡ÞÀÓÑ","+82-2-788-2114","+82-2-788-3664","http://korea.assembly.go.kr/","øÁìí£¯9:00?17:00¡¢÷Ï£¯9:00?16:00 ìíèøìí¡¢õæð®ìí¡¢??ËÒêÂÑÀÒ·ìí(5/31)ªÏýÌÎ½ ¡Ø ìýíÞªÏøÍÎ½ªÎ1ãÁÊàîñªÞªÇ","","","ò¢ù»?9?àÊ?«¯«¯«§«¦«£«µ«À«ó??1Ûã¡¢6ÛãõóÏ¢","???ßöÎ½ùÛ?ªÎïÙö½ïÙÝ¤Ñ¦???ì¡ÞÀÓÑ«é«ó«É«Þ?«¯ì¡ê¬?Î½","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"5766","zh-CN","???ÞÀÓÑ","150-701 âÏ?ã¼çµÔôøÝ?æ£ëø?Ô×1 ","150-701 âÏ?÷å?ã¼çµÔôøÝ?æ£ëø?Ô×1?£¨?ÞÀÓÑÓÞÔ³1????ÞÀÓÑ£© ","+82-2-788-2114","+82-2-788-3664","http://www.assembly.go.kr","09:00~18:00  (ñ²×¿¡¢ñ²ìí 09:00~17:00) - ìý???ï¸ò¸??îñ1á³?","ñ²ìé~ñ²×¿","Øß?êÅð¯2?ûúð¯4?ñ²ìí¡¢ÛöêÂÍëýÌìí¡¢?????Ò·ìí(5êÅ31ìí)","9?? ???ÞÀÓÑó×16?õóÏ¢","ò¢???????ÞÈýÌ????ÞÀÓÑæ£??ÚÅñ«ñ«?ìÑ????ÞÀÓÑó×??","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"20598","ja","?Ø¡«Ï«ó«°«ëÚÏÚªÎ½","140-026 «½«¦«ëã¼×£ß£?×£ß£Ô×6Ê¶ 168-6","04383 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«½«Ó«ó«³«í139 (×£ß£Ô×6Ê¶)?Ø¡«Ï«ó«°«ëÚÏÚªÎ½","+82-2-2124-6200","","http://www.hangeul.go.kr/main.do","êÅèøìí?ÑÑèøìí¡¢õæð®ìí£¯10:00?18:00 ÷Ïèøìí¡¢?êÅõÌðûâ©èøìí£¯10:00?21:00 ¡ØìýÎ½ªÏ30ÝÂîñªÞªÇ","","1êÅ1ìí¡¢?ïáêÅÐàªÓõÕàª(??8êÅ15ìí)?ìí","ò¢ù»?4?àÊ/«­«ç«ó«¤¡¤«Á«å«ó«¢«ó(ÌÈëùñéäç)àÊ?«¤«Á«ç«ó??2ÛãõóÏ¢ «­«ç«ó«¤¡¤«Á«å«ó«¢«ó(ÌÈëùñéäç)àÊ?«½«Ó«ó«´??1ÛãõóÏ¢","ùÛ?åÞýºÚÅïáëåî÷ãÆ«Ï«ó«°«ë?íÞÚÏÚªÎ½«Ï«ó«°«ë?Ø¡«Ï«ó«°«ëÚÏÚªÎ½","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
